T [°C],R [Ω],blad R [Ω]
22.7,109,2.872
27.6,111,2.888
33.6,113,2.904
37.8,115,2.92
43.6,117,2.936
47.5,118,2.944
53.2,121,2.968
58.2,123,2.984
63.1,124,2.992
68,126,3.008
72.9,128,3.024
78.2,130,3.04
83.3,132,3.056
88.7,134,3.072
